"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000123146.2",6.53260588848168e-08,0.929249656309264,0.037,0.021,0.00153150412449564,"2","ENSG00000123146"
"ENSG00000100100.2",6.64337179571442e-08,0.744337231565182,0.051,0.03,0.00155747208378729,"2","ENSG00000100100"
"ENSG00000137210.1",6.66443885611746e-08,-0.763463309387806,0.031,0.056,0.00156241104542818,"2","ENSG00000137210"
"ENSG00000160584.2",6.70454119918953e-08,0.766740030205896,0.07,0.046,0.00157181263873799,"2","ENSG00000160584"
"ENSG00000145050.1",6.94341279199618e-08,-0.639997579705609,0.051,0.08,0.00162781369495558,"2","ENSG00000145050"
"ENSG00000204482.2",6.97815480937735e-08,0.562680596252625,0.078,0.052,0.00163595861351042,"2","ENSG00000204482"
"ENSG00000170606.1",7.03944774210965e-08,-0.459231009367236,0.081,0.116,0.00165032812866019,"2","ENSG00000170606"
"ENSG00000100749.1",7.05170105826772e-08,-0.71128573863657,0.034,0.06,0.00165320079610028,"2","ENSG00000100749"
"ENSG00000130332.1",7.27027371510199e-08,-0.535987541017484,0.073,0.107,0.00170444296976851,"2","ENSG00000130332"
"ENSG00000151414.1",7.30981212065237e-08,0.923961627352488,0.052,0.032,0.00171371235356574,"2","ENSG00000151414"
"ENSG00000135185.1",7.34300650527773e-08,-0.762510385718959,0.035,0.06,0.00172149444509731,"2","ENSG00000135185"
"ENSG00000187735.1",7.40556352605828e-08,-0.881765005049563,0.03,0.054,0.0017361603130491,"2","ENSG00000187735"
"ENSG00000104998.1",7.6526772796983e-08,1.2006297903518,0.025,0.012,0.00179409366145247,"2","ENSG00000104998"
"ENSG00000004779.1",7.67966892659121e-08,-0.431111463950648,0.078,0.113,0.00180042158315004,"2","ENSG00000004779"
"ENSG00000170396.2",7.97562647896154e-08,-1.01305306427528,0.014,0.033,0.00186980587172774,"2","ENSG00000170396"
"ENSG00000196739.2",8.57710512952404e-08,-3.53984608791189,0.001,0.012,0.00201081652656562,"2","ENSG00000196739"
"ENSG00000126432.1",8.72131275414663e-08,-0.465488819073212,0.081,0.116,0.00204462456208214,"2","ENSG00000126432"
"ENSG00000116288.1",8.80356597707962e-08,-0.320411604902803,0.208,0.26,0.00206390800766655,"2","ENSG00000116288"
"ENSG00000140368.2",8.88874569356257e-08,0.8078083953934,0.032,0.017,0.00208387754039881,"2","ENSG00000140368"
"ENSG00000211685.1",9.10633523691767e-08,-1.03389476798484,0.007,0.022,0.00213488923294298,"2","ENSG00000211685"
"ENSG00000080986.1",9.12248778902727e-08,-0.910286537260873,0.026,0.049,0.00213867603725955,"2","ENSG00000080986"
"ENSG00000080503.1",9.26558174643747e-08,0.503642038128642,0.121,0.089,0.0021722229846348,"2","ENSG00000080503"
"ENSG00000110324.1",9.5208256269366e-08,0.967502154863611,0.039,0.022,0.00223206235997902,"2","ENSG00000110324"
"ENSG00000116030.1",9.62433822039136e-08,-0.549761679010544,0.043,0.072,0.00225632985238855,"2","ENSG00000116030"
"ENSG00000196531.1",9.79029834648899e-08,-0.214968282427876,0.5,0.555,0.00229523754435088,"2","ENSG00000196531"
"ENSG00000150347.1",9.82136458194654e-08,0.506819906903072,0.102,0.073,0.00230252071259155,"2","ENSG00000150347"
"ENSG00000069667.2",1.00229479702533e-07,0.74099376358342,0.042,0.024,0.00234977992214618,"2","ENSG00000069667"
"ENSG00000138496.1",1.01135131202201e-07,0.783962222143485,0.052,0.032,0.00237101201590441,"2","ENSG00000138496"
"ENSG00000070756.2",1.04492362744298e-07,-0.180624220633501,0.467,0.521,0.00244971895217731,"2","ENSG00000070756"
"ENSG00000160014.1",1.04518102954916e-07,-0.384055310878853,0.133,0.176,0.00245032240567506,"2","ENSG00000160014"
"ENSG00000001461.1",1.07066379641351e-07,0.967447556398317,0.031,0.016,0.00251006420431182,"2","ENSG00000001461"
"ENSG00000196372.1",1.07309551428385e-07,-1.05950088674143,0.009,0.026,0.00251576512368705,"2","ENSG00000196372"
"ENSG00000166949.1",1.07403371011617e-07,0.93846379142452,0.043,0.025,0.00251796462999634,"2","ENSG00000166949"
"ENSG00000144791.1",1.07637625213675e-07,1.11564201375525,0.024,0.012,0.00252345648550939,"2","ENSG00000144791"
"ENSG00000125245.1",1.1035463225508e-07,-0.933269950587073,0.016,0.035,0.00258715399858808,"2","ENSG00000125245"
"ENSG00000170832.2",1.13409345882112e-07,0.929348446862258,0.036,0.019,0.00265876870486022,"2","ENSG00000170832"
"ENSG00000137285.1",1.14087480297335e-07,-1.70543233362108,0.006,0.02,0.00267466688809072,"2","ENSG00000137285"
"ENSG00000065809.1",1.1444984829124e-07,-0.3082919682924,0.157,0.202,0.00268316224333982,"2","ENSG00000065809"
"ENSG00000163376.1",1.16254326329802e-07,-1.39944019143697,0.011,0.028,0.00272546642647589,"2","ENSG00000163376"
"ENSG00000135624.1",1.19794891987041e-07,-0.544932941641272,0.066,0.098,0.00280847144774418,"2","ENSG00000135624"
"ENSG00000143353.1",1.21059686287448e-07,-0.669852360025853,0.037,0.063,0.00283812328532294,"2","ENSG00000143353"
"ENSG00000132780.1",1.22321952930746e-07,-0.358851782844628,0.119,0.161,0.00286771586450841,"2","ENSG00000132780"
"ENSG00000078304.1",1.23596364031926e-07,-0.299832098633463,0.154,0.201,0.00289759315836448,"2","ENSG00000078304"
"ENSG00000204387.1",1.26846505932877e-07,-0.351647919013276,0.134,0.177,0.00297378948509037,"2","ENSG00000204387"
"ENSG00000156299.1",1.27517290746399e-07,1.04330848279286,0.034,0.018,0.00298951536425858,"2","ENSG00000156299"
"ENSG00000156273.1",1.27523688777158e-07,0.805398105558276,0.048,0.029,0.0029896653596917,"2","ENSG00000156273"
"ENSG00000128536",1.27676889190873e-07,1.5819728769631,0.015,0.006,0.00299325699019084,"2","ENSG00000128536"
"ENSG00000149269.1",1.28567315446527e-07,1.06744222860019,0.027,0.014,0.00301413214332838,"2","ENSG00000149269"
"ENSG00000164398",1.28762289743798e-07,1.63666462834123,0.013,0.004,0.0030187031207536,"2","ENSG00000164398"
"ENSG00000146701.1",1.30442931744863e-07,-0.427923133383377,0.058,0.09,0.00305810409182657,"2","ENSG00000146701"
"ENSG00000171723.1",1.31152267193857e-07,1.03540911165726,0.043,0.025,0.00307473375209278,"2","ENSG00000171723"
"ENSG00000131495.1",1.32287130129056e-07,-0.317223227701498,0.116,0.157,0.00310133947874558,"2","ENSG00000131495"
"ENSG00000145734.2",1.37115645587289e-07,0.650971451249307,0.093,0.066,0.0032145391951484,"2","ENSG00000145734"
"ENSG00000137100.1",1.41568502684752e-07,-0.60023741583103,0.042,0.07,0.00331893197694133,"2","ENSG00000137100"
"ENSG00000138071.1",1.41947645382764e-07,-0.318296708291133,0.203,0.252,0.00332782059835351,"2","ENSG00000138071"
"ENSG00000172985.2",1.4304699610211e-07,1.31010379350959,0.017,0.007,0.00335359377661787,"2","ENSG00000172985"
"ENSG00000196092.1",1.4631440103488e-07,-0.367672141456736,0.076,0.11,0.00343019481786172,"2","ENSG00000196092"
"ENSG00000183011.1",1.48462807290168e-07,-0.50721281076988,0.065,0.098,0.00348056205411071,"2","ENSG00000183011"
"ENSG00000184357.1",1.49078064409543e-07,-0.477682891109449,0.069,0.102,0.00349498614201733,"2","ENSG00000184357"
"ENSG00000130755.1",1.50146678224245e-07,0.361380849480324,0.234,0.194,0.00352003872428921,"2","ENSG00000130755"
"ENSG00000139343.1",1.50932394546769e-07,-0.524259024108457,0.076,0.11,0.00353845905775445,"2","ENSG00000139343"
"ENSG00000168496.1",1.52210174378326e-07,-0.821831526663878,0.03,0.054,0.00356841532812547,"2","ENSG00000168496"
"ENSG00000139626.1",1.54711186172231e-07,0.8955563516792,0.034,0.018,0.00362704904862179,"2","ENSG00000139626"
"ENSG00000163519.2",1.56033737953216e-07,0.981100647397284,0.029,0.015,0.00365805495257519,"2","ENSG00000163519"
"ENSG00000107485.2",1.57907494206197e-07,1.25380842756425,0.017,0.007,0.00370198329417009,"2","ENSG00000107485"
"ENSG00000215021.1",1.62274770887281e-07,-0.432062296503759,0.093,0.13,0.00380436972868142,"2","ENSG00000215021"
"ENSG00000144218.2",1.67112494069601e-07,0.489724982211199,0.205,0.169,0.00391778531096772,"2","ENSG00000144218"
"ENSG00000109689.1",1.69057449119297e-07,-0.476953446358886,0.052,0.081,0.00396338283715281,"2","ENSG00000109689"
"ENSG00000008952.1",1.69265976608483e-07,-0.332185985371362,0.144,0.188,0.00396827155560927,"2","ENSG00000008952"
"ENSG00000172794.1",1.73201849140113e-07,1.1043446995008,0.021,0.01,0.00406054415124081,"2","ENSG00000172794"
"ENSG00000150672.1",1.76054417857047e-07,-1.6620584524124,0.01,0.026,0.0041274197722406,"2","ENSG00000150672"
"ENSG00000172116.2",1.7646646800098e-07,1.21773010039399,0.019,0.008,0.00413707987581497,"2","ENSG00000172116"
"ENSG00000135316.1",1.78842243502469e-07,-0.397440230830666,0.101,0.138,0.00419277755667188,"2","ENSG00000135316"
"ENSG00000101608",1.79890719809549e-07,-0.242720634667172,0.302,0.36,0.00421735803521507,"2","ENSG00000101608"
"ENSG00000143321.1",1.80225052685488e-07,-0.516031482890661,0.051,0.08,0.00422519613515858,"2","ENSG00000143321"
"ENSG00000103811.1",1.81381602331215e-07,-0.405696333374499,0.108,0.147,0.004252310285053,"2","ENSG00000103811"
"ENSG00000111879.1",1.88009984179821e-07,1.31666094791976,0.017,0.007,0.00440770606911172,"2","ENSG00000111879"
"ENSG00000099341.1",1.93706487172438e-07,-0.463153872937334,0.069,0.101,0.00454125488527063,"2","ENSG00000099341"
"ENSG00000173113.1",1.94145147579871e-07,-0.398579374316443,0.109,0.148,0.0045515388398625,"2","ENSG00000173113"
"ENSG00000100129.1",2.00395031379463e-07,-0.379438691662747,0.119,0.159,0.00469806111566012,"2","ENSG00000100129"
"ENSG00000182247.1",2.01454428026566e-07,0.838550134993,0.093,0.067,0.00472289761065482,"2","ENSG00000182247"
"ENSG00000250317.1",2.05224468645946e-07,-0.713251884876035,0.033,0.057,0.00481128244293555,"2","ENSG00000250317"
"ENSG00000055208.2",2.07188662124966e-07,0.707291087869416,0.071,0.048,0.00485733099485769,"2","ENSG00000055208"
"ENSG00000065675.2",2.12412387938239e-07,0.721947038239931,0.034,0.019,0.00497979602282408,"2","ENSG00000065675"
"ENSG00000010818.2",2.14778668381946e-07,0.674597710616617,0.075,0.051,0.00503527110154634,"2","ENSG00000010818"
"ENSG00000120742.1",2.2184869524245e-07,-0.375480583028785,0.117,0.157,0.005201020811264,"2","ENSG00000120742"
"ENSG00000159216.2",2.22179266835208e-07,0.721735341632654,0.083,0.058,0.00520877073168461,"2","ENSG00000159216"
"ENSG00000160752.1",2.24742857063257e-07,-0.505269106501868,0.066,0.098,0.005268871540991,"2","ENSG00000160752"
"ENSG00000197057.2",2.28411148763609e-07,0.945092437141897,0.022,0.01,0.00535487097161404,"2","ENSG00000197057"
"ENSG00000109684.1",2.31333793351663e-07,1.1482175415874,0.019,0.009,0.00542338945133639,"2","ENSG00000109684"
"ENSG00000114127.2",2.37989720874569e-07,0.702417876938029,0.073,0.049,0.0055794310161834,"2","ENSG00000114127"
